feature,coef,abs_coef
TEXTURE_GLRLM_ED_T1Gd_LRLGE,-0.203573047727046,0.203573047727046
TEXTURE_GLSZM_NET_FLAIR_ZSN,-0.19581641827345084,0.19581641827345084
SPATIAL_Insula,-0.17644423138874646,0.17644423138874646
HISTO_NET_T2_Bin10,-0.171322562366767,0.171322562366767
HISTO_ED_T2_Bin2,-0.17124048147543933,0.17124048147543933
TEXTURE_GLSZM_NET_T1_SZHGE,-0.12924736078917937,0.12924736078917937
TEXTURE_GLRLM_NET_FLAIR_HGRE,0.12761359969082509,0.12761359969082509
HISTO_ED_T2_Bin10,-0.0960354824669822,0.0960354824669822
TEXTURE_GLOBAL_NET_FLAIR_Skewness,-0.09275184892873138,0.09275184892873138
HISTO_NET_FLAIR_Bin1,0.09259074520100234,0.09259074520100234
TEXTURE_GLOBAL_ED_T1Gd_Kurtosis,-0.09074709771172791,0.09074709771172791
TEXTURE_GLOBAL_ED_T1_Skewness,0.07801270989628814,0.07801270989628814
TEXTURE_GLSZM_ET_T2_LZLGE,-0.07749207467995826,0.07749207467995826
HISTO_ET_T2_Bin4,-0.07076757120065191,0.07076757120065191
TEXTURE_GLSZM_NET_T1Gd_LZE,-0.06845997956650478,0.06845997956650478
TEXTURE_NGTDM_ET_FLAIR_Busyness,-0.06822599924168254,0.06822599924168254
TEXTURE_GLCM_ET_T1_Variance,-0.060397825103162536,0.060397825103162536
SPATIAL_Temporal,-0.05813558478936382,0.05813558478936382
HISTO_NET_T1_Bin5,-0.053127063966437786,0.053127063966437786
TEXTURE_GLCM_NET_FLAIR_AutoCorrelation,0.041093997447433694,0.041093997447433694
TEXTURE_GLCM_ED_T1Gd_Correlation,0.040719106503823634,0.040719106503823634
TEXTURE_NGTDM_NET_T1Gd_Busyness,0.03443659570186989,0.03443659570186989
TEXTURE_GLSZM_ED_T1Gd_LZE,-0.030557970581961708,0.030557970581961708
HISTO_NET_T1_Bin9,0.025579522904948256,0.025579522904948256
HISTO_ET_FLAIR_Bin5,-0.023653344456604983,0.023653344456604983
