feature,coef,abs_coef,selected
TEXTURE_GLRLM_ED_T1Gd_LRLGE,-0.203573047727046,0.203573047727046,True
TEXTURE_GLSZM_NET_FLAIR_ZSN,-0.19581641827345084,0.19581641827345084,True
SPATIAL_Insula,-0.17644423138874646,0.17644423138874646,True
HISTO_NET_T2_Bin10,-0.171322562366767,0.171322562366767,True
HISTO_ED_T2_Bin2,-0.17124048147543933,0.17124048147543933,True
TEXTURE_GLSZM_NET_T1_SZHGE,-0.12924736078917937,0.12924736078917937,True
TEXTURE_GLRLM_NET_FLAIR_HGRE,0.12761359969082509,0.12761359969082509,True
HISTO_ED_T2_Bin10,-0.0960354824669822,0.0960354824669822,True
TEXTURE_GLOBAL_NET_FLAIR_Skewness,-0.09275184892873138,0.09275184892873138,True
HISTO_NET_FLAIR_Bin1,0.09259074520100234,0.09259074520100234,True
TEXTURE_GLOBAL_ED_T1Gd_Kurtosis,-0.09074709771172791,0.09074709771172791,True
TEXTURE_GLOBAL_ED_T1_Skewness,0.07801270989628814,0.07801270989628814,True
TEXTURE_GLSZM_ET_T2_LZLGE,-0.07749207467995826,0.07749207467995826,True
HISTO_ET_T2_Bin4,-0.07076757120065191,0.07076757120065191,True
TEXTURE_GLSZM_NET_T1Gd_LZE,-0.06845997956650478,0.06845997956650478,True
TEXTURE_NGTDM_ET_FLAIR_Busyness,-0.06822599924168254,0.06822599924168254,True
TEXTURE_GLCM_ET_T1_Variance,-0.060397825103162536,0.060397825103162536,True
SPATIAL_Temporal,-0.05813558478936382,0.05813558478936382,True
HISTO_NET_T1_Bin5,-0.053127063966437786,0.053127063966437786,True
TEXTURE_GLCM_NET_FLAIR_AutoCorrelation,0.041093997447433694,0.041093997447433694,True
TEXTURE_GLCM_ED_T1Gd_Correlation,0.040719106503823634,0.040719106503823634,True
TEXTURE_NGTDM_NET_T1Gd_Busyness,0.03443659570186989,0.03443659570186989,True
TEXTURE_GLSZM_ED_T1Gd_LZE,-0.030557970581961708,0.030557970581961708,True
HISTO_NET_T1_Bin9,0.025579522904948256,0.025579522904948256,True
HISTO_ET_FLAIR_Bin5,-0.023653344456604983,0.023653344456604983,True
HISTO_ED_FLAIR_Bin10,-0.02323020637872019,0.02323020637872019,True
TEXTURE_GLRLM_ED_T2_RLV,0.021969708720968272,0.021969708720968272,True
TGM_Cog_Z_2,0.02090572963497367,0.02090572963497367,True
TEXTURE_GLOBAL_ET_FLAIR_Skewness,-0.0205749657640401,0.0205749657640401,True
TEXTURE_GLSZM_NET_FLAIR_SZLGE,-0.006902423172232683,0.006902423172232683,True
TEXTURE_GLOBAL_ET_T1Gd_Skewness,0.006774764353527788,0.006774764353527788,True
TEXTURE_GLRLM_ED_T2_LGRE,0.0006565935271815211,0.0006565935271815211,True
